Date,Close,Open,High,Low,Volume,Change %
24-Jul-20,829.16,854.23,854.57,816.65,505.10K,-3.22%
23-Jul-20,856.75,854.92,857.22,851.97,240.50K,0.20%
22-Jul-20,855.08,862.8,864,854.97,278.60K,-0.77%
21-Jul-20,861.69,863.94,864.7,856.94,245.41K,0.03%
20-Jul-20,861.4,870.66,871.64,861.4,285.08K,-1.22%
17-Jul-20,872.02,873.48,875.07,871.89,270.68K,-0.55%
16-Jul-20,876.83,871.81,876.83,869.25,243.47K,0.80%
15-Jul-20,869.91,872.8,876.69,869.91,258.29K,0.21%
14-Jul-20,868.11,865.01,868.11,860.28,239.14K,-0.07%
13-Jul-20,868.72,874.85,876.83,866.99,246.07K,-0.29%
10-Jul-20,871.21,873.7,878.53,867.59,291.11K,-0.60%
9-Jul-20,876.46,867.66,878.36,867.45,306.08K,1.38%
8-Jul-20,864.5,861.75,865.58,859.98,237.54K,0.13%
7-Jul-20,863.42,865.46,870.63,863.42,330.90K,0.26%
6-Jul-20,861.16,851.47,861.85,850.04,215.09K,1.60%
3-Jul-20,847.61,845.26,848.16,843.25,203.00K,0.62%
2-Jul-20,842.38,845.66,845.66,838.48,223.80K,-0.13%
1-Jul-20,843.49,827.67,844.26,826.38,303.55K,2.23%
30-Jun-20,825.11,836.72,840.31,821.92,358.39K,-0.51%
29-Jun-20,829.36,846.26,846.53,826,389.64K,-2.65%
26-Jun-20,851.98,859.07,862.59,850.66,300.39K,-0.31%
25-Jun-20,854.59,851.09,856.23,849.65,312.30K,-0.60%
24-Jun-20,859.71,868.2,873.13,857.58,370.92K,-0.98%
23-Jun-20,868.2,871.12,873.2,864.02,455.36K,-0.35%
22-Jun-20,871.28,871.56,872.94,867.37,350.37K,0.31%
19-Jun-20,868.56,857.77,868.56,857.77,440.09K,1.55%
18-Jun-20,855.27,850.92,858.03,847.49,280.31K,0.10%
17-Jun-20,854.44,861.05,861.05,852.27,354.84K,-0.20%
16-Jun-20,856.13,848.86,858.7,844.67,412.45K,2.84%
15-Jun-20,832.47,867.52,868.16,832.47,708.24K,-3.60%
12-Jun-20,863.52,841.85,863.52,841.44,620.77K,-0.44%
11-Jun-20,867.37,900.48,903.7,867.37,707.46K,-3.63%
10-Jun-20,900,898.78,902.69,890.3,542.87K,0.06%
9-Jun-20,899.43,902.26,904.89,898.87,501.73K,-0.05%
8-Jun-20,899.92,888.7,905.65,888.7,572.02K,1.55%
5-Jun-20,886.22,883.4,886.59,878.5,499.61K,0.26%
4-Jun-20,883.9,883.22,888.32,883.22,431.12K,0.31%
3-Jun-20,881.17,876.73,881.17,874.01,351.96K,0.73%
2-Jun-20,874.8,879.23,882.73,874.53,484.71K,-0.44%
1-Jun-20,878.67,868.97,878.67,868.97,476.52K,1.64%
29-May-20,864.47,861.59,866.95,859.26,318.19K,0.36%
28-May-20,861.39,858.97,866.17,856.48,322.22K,0.46%
27-May-20,857.48,869.13,875.35,857.48,388.90K,-1.34%
26-May-20,869.13,861.47,869.65,860.22,328.35K,1.17%
25-May-20,859.04,852.9,860.45,849.12,307.23K,0.74%
22-May-20,852.74,859.29,860.65,852.08,303.98K,-1.16%
21-May-20,862.73,854.93,862.73,854.04,331.91K,1.15%
20-May-20,852.91,843.26,852.91,842.21,265.77K,0.83%
19-May-20,845.92,852.14,854.25,844.15,385.27K,1.06%
18-May-20,837.01,827.49,837.61,823.08,254.05K,1.21%
15-May-20,827.03,835.42,838.47,824.59,301.89K,-0.65%
14-May-20,832.4,830.97,836.19,826.17,341.12K,-0.22%
13-May-20,834.21,835.32,839.59,815.13,374.60K,-0.13%
12-May-20,835.32,827.29,835.95,819.66,322.21K,0.84%
11-May-20,828.33,818.26,828.33,812.48,353.42K,1.79%
8-May-20,813.73,800.32,825.72,800.2,371.34K,2.16%
7-May-20,796.54,785.08,796.54,785.08,240.80K,1.78%
6-May-20,782.59,767.3,782.59,765.37,272.45K,2.41%
5-May-20,764.16,763.22,767.03,760.04,212.38K,0.22%
4-May-20,762.47,766.14,769.73,761.64,285.57K,-0.86%
29-Apr-20,769.11,768.59,772.62,768.19,250.08K,0.25%
28-Apr-20,767.21,773.31,776.13,763.66,219.40K,-0.46%
27-Apr-20,770.77,780.65,785.74,770.77,307.36K,-0.76%
24-Apr-20,776.66,777.28,778.3,767.31,262.27K,0.36%
23-Apr-20,773.91,768.92,785.6,768.92,205.80K,0.65%
22-Apr-20,768.92,752.8,774.94,749.97,253.44K,0.27%
21-Apr-20,766.84,794.97,794.97,761.96,397.40K,-3.54%
20-Apr-20,794.97,796.17,797.49,786.73,336.05K,0.68%
17-Apr-20,789.6,786.96,790.95,783.74,309.86K,1.14%
16-Apr-20,780.7,773.11,781.06,770.91,250.94K,0.45%
15-Apr-20,777.22,768.05,779.52,768.01,302.62K,1.28%
14-Apr-20,767.41,769.01,769.53,753.85,266.78K,0.21%
13-Apr-20,765.79,762.99,774.62,762.53,235.28K,1.04%
10-Apr-20,757.94,759.08,764.36,751.59,338.40K,-0.31%
9-Apr-20,760.33,751.08,765.87,751.08,298.47K,1.65%
8-Apr-20,748.02,740.03,748.36,730.12,252.29K,0.18%
7-Apr-20,746.69,744.97,749.13,730.28,292.97K,1.35%
6-Apr-20,736.75,716.22,736.75,715.39,334.90K,4.98%
3-Apr-20,701.8,687.92,701.8,687.92,233.09K,3.17%
1-Apr-20,680.23,658.8,684.96,657.41,267.02K,2.67%
31-Mar-20,662.53,669.74,678.64,649.1,262.79K,0.04%
30-Mar-20,662.26,663.91,665.56,657.36,233.10K,-4.86%
27-Mar-20,696.06,692.54,703.22,682.52,327.99K,0.27%
26-Mar-20,694.21,689,700.76,680.1,221.85K,0.57%
25-Mar-20,690.25,669.76,690.25,667.58,270.18K,4.71%
24-Mar-20,659.21,666.59,666.59,652.27,245.15K,-1.11%
23-Mar-20,666.59,694.77,694.77,664.23,280.25K,-6.08%
20-Mar-20,709.73,728.55,729.35,709.73,230.59K,-2.23%
19-Mar-20,725.94,732.35,733.43,714.02,353.39K,-2.91%
18-Mar-20,747.66,747.4,752.65,742.12,259.02K,0.25%
17-Mar-20,745.78,724.07,750.03,721.84,287.28K,-0.28%
16-Mar-20,747.86,758.28,758.59,737.58,292.25K,-1.83%
13-Mar-20,761.78,750.56,764.69,723.42,354.71K,-0.97%
12-Mar-20,769.25,778.06,778.06,762.12,339.23K,-5.19%
11-Mar-20,811.35,843.52,844.94,794.54,318.57K,-3.12%
10-Mar-20,837.5,813.83,843.28,806.63,298.02K,0.24%
9-Mar-20,835.49,875.8,875.8,834.67,309.10K,-6.28%
6-Mar-20,891.44,888.96,891.44,882.71,214.34K,-0.21%
5-Mar-20,893.31,892.71,898.43,891.2,231.34K,0.44%
4-Mar-20,889.37,887.85,889.85,882.83,238.45K,-0.14%
3-Mar-20,890.61,895.39,896.39,890.06,212.74K,0.70%
2-Mar-20,884.43,878.43,886.45,877.31,206.64K,0.25%
28-Feb-20,882.19,885.47,887.07,872.46,241.89K,-1.81%
27-Feb-20,898.44,892.15,899.34,889.14,163.29K,0.28%
26-Feb-20,895.97,901.51,903.27,894.25,142.58K,-1.51%
25-Feb-20,909.67,893.95,909.67,893.95,221.12K,0.70%
24-Feb-20,903.34,917.49,917.49,903.34,291.88K,-3.19%
21-Feb-20,933.09,938.13,940.53,932.32,206.75K,-0.54%
20-Feb-20,938.13,933.69,938.13,930.41,198.34K,1.01%
19-Feb-20,928.76,926.41,931.66,925.86,192.17K,0.09%
18-Feb-20,927.93,934.47,934.98,926.01,187.76K,-0.73%
17-Feb-20,934.77,938.52,938.52,931.66,183.25K,-0.29%
14-Feb-20,937.45,939.28,940.65,936.47,204.35K,-0.08%
13-Feb-20,938.24,937.19,939.1,934.47,177.73K,0.06%
12-Feb-20,937.68,940.72,943.11,937.34,228.04K,0.32%
11-Feb-20,934.67,930.73,936.04,930.73,179.35K,0.42%
10-Feb-20,930.73,934.38,935.87,926.61,153.97K,-1.07%
7-Feb-20,940.75,938.61,943.48,935.94,194.17K,0.24%
6-Feb-20,938.54,926.66,938.54,925.21,223.67K,1.36%
5-Feb-20,925.91,934.75,936.33,921.89,197.38K,-0.34%
4-Feb-20,929.09,929.42,934.91,919.33,197.69K,0.10%
3-Feb-20,928.14,916.6,930.37,891.85,275.52K,-0.91%
31-Jan-20,936.62,959.58,960.96,936.62,253.95K,-2.39%
30-Jan-20,959.58,975.15,977.72,954,198.51K,-3.22%
22-Jan-20,991.46,986.52,991.46,983.92,152.35K,0.52%
21-Jan-20,986.37,978.82,986.37,978.82,157.67K,0.79%
20-Jan-20,978.63,978.23,979.85,975.93,148.80K,-0.03%
17-Jan-20,978.96,976.28,980.02,973.79,164.14K,0.48%
16-Jan-20,974.31,967.2,974.7,967.17,201.25K,0.70%
15-Jan-20,967.56,967.69,967.69,964.84,150.04K,0.06%
14-Jan-20,967,966.26,968.85,965.76,190.35K,0.12%
13-Jan-20,965.84,966.89,968.63,964.79,147.15K,-0.28%
10-Jan-20,968.54,961.17,969.71,961.17,222.16K,0.87%
9-Jan-20,960.15,953.86,960.73,952.16,166.15K,1.18%
8-Jan-20,948.98,954.13,955.84,945.28,319.17K,-1.03%
7-Jan-20,958.88,955.79,959.46,953.19,181.63K,0.32%
6-Jan-20,955.79,962.79,963.2,955.59,187.20K,-0.97%
3-Jan-20,965.14,968.72,970.88,965.14,174.13K,-0.16%
2-Jan-20,966.67,960.26,966.67,959.67,200.60K,0.59%
31-Dec-19,960.99,965.71,965.71,958.22,185.24K,-0.42%
30-Dec-19,965.03,962.89,967.52,962.47,177.74K,0.16%
27-Dec-19,963.51,957.7,963.51,954.19,180.52K,0.51%
26-Dec-19,958.59,960.67,962.11,957.43,265.94K,-0.24%
25-Dec-19,960.92,958.18,962.83,957.5,238.32K,0.21%
24-Dec-19,958.88,959.43,959.43,953.29,229.67K,-0.06%
23-Dec-19,959.43,959.55,960.71,958.07,241.52K,0.32%
20-Dec-19,956.41,953.55,957.52,952.71,243.33K,0.44%
19-Dec-19,952.26,950.61,955.85,946.74,222.47K,0.12%
18-Dec-19,951.13,951.52,954.18,949.86,323.41K,-0.30%
17-Dec-19,954.03,962.49,962.79,954.03,280.85K,-0.77%
16-Dec-19,961.47,966,966,960.39,278.44K,-0.49%
13-Dec-19,966.18,969.43,971.84,965.93,219.16K,-0.21%
12-Dec-19,968.17,963.39,968.39,962.72,218.75K,0.66%
11-Dec-19,961.78,960.59,961.78,954.56,216.48K,0.15%
10-Dec-19,960.3,965.92,966.58,955.14,242.73K,-0.60%
9-Dec-19,966.06,963.91,967.57,962.59,273.26K,0.26%
6-Dec-19,963.56,962.38,965.41,960.99,171.82K,0.03%
5-Dec-19,963.27,969,969.53,962.16,194.54K,-0.27%
4-Dec-19,965.9,952.51,965.9,950.13,210.10K,1.31%
3-Dec-19,953.43,957.4,960.82,950.96,264.94K,-0.61%
2-Dec-19,959.31,971.42,972.91,958.3,211.00K,-1.18%
29-Nov-19,970.75,971.1,972.89,968.03,167.27K,0.04%
28-Nov-19,970.39,977.66,979.17,967.68,191.26K,-0.80%
27-Nov-19,978.17,978.98,982.76,978.17,197.96K,0.14%
26-Nov-19,976.79,976.35,981.96,976.35,192.50K,0.05%
25-Nov-19,976.35,977.85,979.6,971.24,189.32K,-0.15%
22-Nov-19,977.78,992.73,993.7,971.03,230.36K,-1.02%
21-Nov-19,987.89,999.37,999.63,987.89,215.01K,-1.27%
20-Nov-19,"1,000.56","1,009.21","1,009.21","1,000.56",210.31K,-0.77%
19-Nov-19,"1,008.35","1,002.89","1,008.35","1,001.35",232.36K,0.54%
18-Nov-19,"1,002.91","1,010.03","1,012.09","1,002.63",184.31K,-0.70%
15-Nov-19,"1,010.03","1,012.93","1,015.16","1,005.10",212.33K,-0.22%
14-Nov-19,"1,012.30","1,013.85","1,016.71","1,010.60",209.40K,-0.05%
13-Nov-19,"1,012.77","1,019.07","1,020.09","1,010.80",286.97K,-0.55%
12-Nov-19,"1,018.33","1,016.97","1,021.84","1,015.97",223.16K,0.16%
11-Nov-19,"1,016.75","1,023.32","1,024.77","1,016.35",210.43K,-0.56%
8-Nov-19,"1,022.49","1,026.98","1,027.39","1,021.11",181.37K,-0.15%
7-Nov-19,"1,024.03","1,023.49","1,028.45","1,022.61",193.39K,-0.09%
6-Nov-19,"1,024.91","1,023.43","1,028.97","1,023.42",225.00K,0.06%
5-Nov-19,"1,024.34","1,022.77","1,026.53","1,021.63",199.37K,0.19%
4-Nov-19,"1,022.43","1,019.00","1,023.92","1,015.86",232.79K,0.67%
1-Nov-19,"1,015.59",998.82,"1,015.88",998.82,241.34K,1.68%
31-Oct-19,998.82,"1,000.89","1,004.40",998.58,218.98K,-0.21%
30-Oct-19,"1,000.89",996.83,"1,003.40",994.86,181.19K,0.50%
29-Oct-19,995.87,997.77,999.88,995.87,249.48K,-0.06%
28-Oct-19,996.48,998.27,999.94,996.48,183.76K,-0.01%
25-Oct-19,996.57,993.91,996.67,992.91,173.49K,0.30%
24-Oct-19,993.6,988.85,993.6,987.65,160.03K,0.59%
23-Oct-19,987.79,987.04,989.61,985.52,179.02K,0.06%
22-Oct-19,987.19,983.52,987.59,983.52,231.65K,0.37%
21-Oct-19,983.56,988.18,988.82,983.56,200.33K,-0.57%
18-Oct-19,989.2,992,993.03,988.41,174.42K,-0.06%
17-Oct-19,989.82,995.04,995.81,989.82,191.55K,-0.47%
16-Oct-19,994.46,995.75,997.41,993.42,188.13K,0.14%
15-Oct-19,993.05,993.55,994.75,990.74,179.97K,-0.05%
14-Oct-19,993.57,994.61,997.25,992.5,193.98K,0.17%
11-Oct-19,991.84,988.57,991.84,987.62,168.61K,0.45%
10-Oct-19,987.38,988.81,990.89,986.93,182.98K,-0.05%
9-Oct-19,987.83,987.82,992,986.74,182.54K,-0.04%
8-Oct-19,988.22,983.62,988.51,981.89,178.38K,0.52%
7-Oct-19,983.09,989.45,990.34,983.09,178.90K,-0.46%
4-Oct-19,987.59,993.69,994.81,987.59,205.01K,-0.21%
3-Oct-19,989.67,985.65,992.45,983.35,140.12K,-0.15%
2-Oct-19,991.19,999.18,"1,000.93",989.63,178.78K,-0.84%
1-Oct-19,999.59,997.87,999.72,996.2,210.25K,0.30%
30-Sep-19,996.56,999.92,"1,004.17",996.51,176.22K,-0.13%
27-Sep-19,997.84,992.26,998.34,991.5,180.74K,0.72%
26-Sep-19,990.75,988.7,991.66,986.35,152.56K,0.35%
25-Sep-19,987.3,985.96,989.18,983.06,171.57K,-0.08%
24-Sep-19,988.13,986.33,991.36,984.94,165.04K,0.24%
23-Sep-19,985.75,991.75,993.98,985.75,207.51K,-0.47%
20-Sep-19,990.36,997.6,998.56,990.36,203.60K,-0.68%
19-Sep-19,997.1,995.49,997.2,990.55,186.92K,0.20%
18-Sep-19,995.15,995.75,998.4,993.94,191.04K,-0.16%
17-Sep-19,996.74,990.06,996.74,986.96,231.44K,0.70%
16-Sep-19,989.86,987.07,992.6,986.72,187.15K,0.27%
13-Sep-19,987.22,976.07,987.22,975.95,189.23K,1.14%
12-Sep-19,976.07,972.39,976.07,972.31,141.32K,0.70%
11-Sep-19,969.31,969.59,973.13,967.14,154.51K,-0.10%
10-Sep-19,970.26,974.62,977.44,968.36,161.45K,-0.40%
9-Sep-19,974.12,974.53,975.03,972.47,155.33K,0.00%
6-Sep-19,974.08,977.83,978.73,973.87,161.16K,-0.28%
5-Sep-19,976.79,979.83,981.67,976.79,159.54K,-0.09%
4-Sep-19,977.63,977.97,979.91,973.37,157.39K,-0.18%
3-Sep-19,979.36,984.79,985.21,978.62,186.48K,-0.48%
30-Aug-19,984.06,980.25,984.87,980.25,143.16K,0.56%
29-Aug-19,978.59,978.17,978.78,973.34,138.39K,0.14%
28-Aug-19,977.26,977.1,981.35,977.1,147.21K,0.05%
27-Aug-19,976.79,986.33,988.49,976.79,199.81K,-0.62%
26-Aug-19,982.88,983.8,984.61,977,189.79K,-0.96%
23-Aug-19,992.45,998.21,998.21,990.83,162.57K,-0.48%
22-Aug-19,997.26,996.41,998.67,993.23,153.00K,0.29%
21-Aug-19,994.38,984.36,995.44,983.3,201.56K,0.99%
20-Aug-19,984.67,983.94,985.35,981.75,177.94K,0.37%
19-Aug-19,981.03,984.04,985.48,979.17,158.09K,0.11%
16-Aug-19,980,974.88,985.61,974.88,198.01K,0.06%
15-Aug-19,979.38,958.05,979.38,955.76,182.91K,1.08%
14-Aug-19,968.91,975.88,975.99,968.91,151.49K,0.22%
13-Aug-19,966.83,972.7,973.09,964.03,181.50K,-0.87%
12-Aug-19,975.31,975.38,977.63,973.22,174.55K,0.10%
9-Aug-19,974.34,976.41,978.69,974.33,192.31K,-0.09%
8-Aug-19,975.24,965.93,975.83,964.21,219.24K,0.96%
7-Aug-19,965.93,967.18,971.96,961.64,219.15K,0.14%
6-Aug-19,964.61,960.29,966.15,958.39,210.93K,-0.88%
5-Aug-19,973.15,988.6,988.99,973.15,195.93K,-1.81%
2-Aug-19,991.1,987.55,991.39,985.69,186.79K,-0.63%
1-Aug-19,997.39,993.25,997.39,990.88,222.66K,0.58%
31-Jul-19,991.66,986,993.4,982.64,172.88K,0.57%
30-Jul-19,986.02,"1,001.46","1,002.77",986.02,154.32K,-1.19%
29-Jul-19,997.94,994.23,997.94,988.29,147.83K,0.46%
26-Jul-19,993.35,994.8,998.52,992.97,152.41K,-0.16%
25-Jul-19,994.95,986.85,997.49,986.85,171.79K,0.66%
24-Jul-19,988.41,993.01,994.85,986.34,169.64K,-0.11%
23-Jul-19,989.46,981.38,990.45,980.22,184.83K,0.76%
22-Jul-19,982.04,981.17,985.13,980.08,164.37K,-0.03%
19-Jul-19,982.34,978.12,986.12,978.12,170.27K,0.64%
18-Jul-19,976.05,979.16,979.49,975.01,139.85K,-0.66%
17-Jul-19,982.57,981.49,985.59,979.05,170.02K,0.05%
16-Jul-19,982.11,975.05,982.11,975.05,174.67K,0.99%
15-Jul-19,972.53,975.57,975.66,970.93,150.55K,-0.29%
12-Jul-19,975.4,980.11,982.1,974.32,157.31K,-0.33%
11-Jul-19,978.63,976.95,980.02,975.03,161.66K,0.51%
10-Jul-19,973.65,971.19,974.96,971.19,154.56K,0.47%
9-Jul-19,969.05,965.24,969.05,963.05,169.48K,0.28%
8-Jul-19,966.35,972.83,972.83,963.84,165.88K,-0.92%
5-Jul-19,975.34,973.04,975.34,970.16,137.92K,0.24%
4-Jul-19,973.04,961.78,973.04,961.65,189.90K,1.32%
3-Jul-19,960.39,960.44,961.67,956.91,136.59K,-0.17%
2-Jul-19,961.98,964.77,966.76,959.8,138.22K,-0.38%
1-Jul-19,965.61,958.92,965.61,957.66,166.45K,1.65%
28-Jun-19,949.94,944.53,949.94,939.12,182.63K,0.72%
27-Jun-19,943.11,959.48,959.48,943.11,159.03K,-1.67%
26-Jun-19,959.13,960.13,962.7,958.38,252.32K,-0.10%
25-Jun-19,960.13,961.19,963.23,960.06,164.35K,-0.28%
24-Jun-19,962.85,960.29,967.11,959.8,150.30K,0.38%
21-Jun-19,959.2,962.69,964.52,959.12,206.14K,0.00%
20-Jun-19,959.18,949.48,962.33,948.97,185.49K,1.00%
19-Jun-19,949.69,948.92,950.04,946.83,147.36K,0.60%
18-Jun-19,944.01,945.73,947.3,938.95,166.94K,-0.31%
17-Jun-19,946.95,953.97,955.18,944.47,174.37K,-0.70%
14-Jun-19,953.61,948.65,954.7,948.65,155.88K,0.37%
13-Jun-19,950.08,951.26,952.06,946.29,142.81K,-0.43%
12-Jun-19,954.17,960.6,960.6,953.83,138.11K,-0.82%
11-Jun-19,962.07,962.43,964.81,959.98,136.38K,-0.09%
10-Jun-19,962.9,963.78,966.9,958.6,154.90K,0.48%
7-Jun-19,958.28,951.64,958.28,950.94,148.04K,1.06%
6-Jun-19,948.21,951.41,951.41,939.35,125.90K,-0.34%
5-Jun-19,951.41,955.8,958.39,951.39,131.58K,0.03%
4-Jun-19,951.16,945.62,951.42,943.21,162.40K,0.50%
3-Jun-19,946.47,953.58,955.78,940.28,184.66K,-1.40%
31-May-19,959.88,968.53,969.94,959.88,136.53K,-0.98%
30-May-19,969.34,971.01,974.56,967.21,159.99K,-0.23%
29-May-19,971.54,973.31,974.96,969.55,145.31K,-0.05%
28-May-19,972,977.02,978.8,969.51,148.99K,-0.32%
27-May-19,975.14,970.73,975.4,970.41,138.47K,0.53%
24-May-19,970.03,976.59,983.14,970.03,168.34K,-1.29%
23-May-19,982.71,982,984.57,977.17,160.09K,-0.11%
22-May-19,983.78,986.66,992.26,982.68,174.96K,-0.25%
21-May-19,986.29,989.67,992.84,986.07,206.56K,-0.09%
20-May-19,987.13,975.95,987.13,974.47,153.16K,1.09%
17-May-19,976.48,977.85,980.04,974.91,135.09K,0.08%
16-May-19,975.69,976.96,981.22,975.69,170.22K,0.01%
15-May-19,975.64,967.95,977.65,967.95,188.85K,1.07%
14-May-19,965.34,952.13,965.34,952.13,158.18K,0.71%
13-May-19,958.54,952.11,958.54,951.76,232.04K,0.63%
10-May-19,952.55,950.37,953.92,947.85,131.03K,0.58%
9-May-19,947.01,950.66,953.66,944.91,181.40K,-0.44%
8-May-19,951.22,950.1,953.88,947.86,143.30K,-0.66%
7-May-19,957.56,961.31,965.61,955.42,145.34K,-0.04%
6-May-19,957.97,964.37,964.89,955.41,155.65K,-1.66%
3-May-19,974.14,976.77,977.13,971.75,148.57K,-0.45%
2-May-19,978.5,978.81,979.93,975.51,152.16K,-0.12%
26-Apr-19,979.64,972.86,979.64,970.73,118.54K,0.57%
25-Apr-19,974.13,976.46,976.46,971.92,149.12K,-0.29%
24-Apr-19,976.92,969.66,978.71,969.66,134.07K,0.92%
23-Apr-19,968,964.84,970.98,964.35,154.89K,0.22%
22-Apr-19,965.86,963.78,966.69,959.33,216.34K,-0.04%
19-Apr-19,966.21,968.27,971.73,965.46,106.98K,0.41%
18-Apr-19,962.3,969.5,973.73,962.05,160.39K,-1.01%
17-Apr-19,972.1,977.17,980.71,972.1,186.72K,-0.52%
16-Apr-19,977.17,970.87,978.53,963.06,150.02K,-0.58%
12-Apr-19,982.9,984.66,984.69,980.26,153.83K,-0.31%
11-Apr-19,985.95,984.46,985.95,981.06,129.48K,0.41%
10-Apr-19,981.91,984.79,987.27,976.83,159.91K,-0.66%
9-Apr-19,988.48,999.89,"1,000.02",987.82,165.18K,-0.91%
8-Apr-19,997.56,989.26,997.56,989.26,163.69K,0.84%
5-Apr-19,989.26,986.91,990.38,986.39,189.29K,0.24%
